instance sat family density lad vbdpd vbbjdpd vf2 snd
F.04 1 1 270 388.940000 2266 2436 100000000 14202.000
C.18 1 1 900 492.925000 1029 1188 100000000 57342.000
A.04 1 1 180 12.998000 43 44 58 1635.000
C.02 1 1 900 279.957000 1087 1078 100000000 63904.000
E.01 0 1 270 784.880000 2726 2750 100000000 2365.000
F.20 1 1 270 5769.122000 2141 1869 100000000 23646.000
B.20 1 1 540 117.982000 387 380 100000000 12010.00
C.08 1 1 900 303.953000 1005 1017 100000000 60946.000
B.11 1 1 540 286.956000 371 368 100000000 13434.000
C.10 1 1 900 591.910000 1167 1435 100000000 61210.00
B.06 1 1 540 105.983000 387 365 100000000 13139.000
F.08 1 1 270 2076.684000 2086 2107 100000000 17013.000
B.07 1 1 540 113.982000 393 396 100000000 12284.000
E.04 0 1 270 487.925000 2412 2457 100000000 1958.000
C.01 1 1 900 268.959000 1027 1027 100000000 59494.000
B.10 1 1 540 109.983000 439 500 100000000 14330.00
A.15 1 1 180 20.996000 39 39 1321710 1515.000
C.19 1 1 900 324.950000 1105 1041 100000000 72251.000
B.02 1 1 540 213.967000 377 359 100000000 12402.000
E.06 0 1 270 853.870000 2553 2587 100000000 1966.000
E.18 0 1 270 770.882000 1374 1399 100000000 1792.000
C.20 1 1 900 538.918000 1045 1044 100000000 60248.000
F.02 1 1 270 343.947000 1814 1830 100000000 15369.000
F.11 1 1 270 157.975000 2203 2233 100000000 14472.000
F.12 1 1 270 237.963000 2336 2362 100000000 14770.00
E.05 0 1 270 227075.479000 1981 2010 100000000 27478828.000
B.16 1 1 540 106.983000 392 398 100000000 13018.000
A.08 1 1 180 11.998000 33 40 2208 1246.000
C.14 1 1 900 688.895000 1084 1086 100000000 59599.000
F.16 1 1 270 220.966000 1788 1798 100000000 15828.000
F.06 1 1 270 1043.841000 1710 1989 100000000 13260.00
A.03 1 1 180 23.996000 42 43 22667 1285.000
E.19 0 1 270 284.956000 1485 1648 100000000 1699.000
C.15 1 1 900 277.957000 1264 1246 100000000 59152.000
A.16 1 1 180 21.996000 49 45 584137 1276.000
B.14 1 1 540 188.971000 376 375 100000000 12205.000
A.02 1 1 180 14.997000 40 40 916 1247.000
F.14 1 1 270 180.972000 1441 1462 100000000 13870.00
F.05 1 1 270 284.956000 1624 1644 100000000 14093.000
B.09 1 1 540 197.969000 380 379 100000000 12360.00
A.01 1 1 180 9.998000 42 44 1808 1308.000
C.05 1 1 900 299.954000 1026 1400 100000000 58923.000
B.01 1 1 540 106.983000 393 431 100000000 12856.000
A.09 1 1 180 11.998000 37 37 68382 1319.000
A.07 1 1 180 12.998000 34 34 3059 1286.000
F.03 1 1 270 173.973000 1570 1563 100000000 14389.000
E.12 0 1 270 2356.641000 1899 1928 100000000 2768.000
C.06 1 1 900 427.934000 1097 1331 100000000 65928.000
C.09 1 1 900 289.955000 993 1078 100000000 60966.000
B.17 1 1 540 102.984000 483 378 100000000 12624.000
C.07 1 1 900 524.920000 1147 1183 100000000 61736.000
E.09 0 1 270 596.909000 1797 1824 100000000 2113.000
E.17 0 1 270 7165.910000 1706 1734 100000000 18404.000
C.11 1 1 900 614.906000 1047 1052 100000000 60456.000
F.10 0 1 270 266.959000 2551 2595 100000000 2012.000
A.17 1 1 180 22.996000 40 41 15201 1232.000
B.15 1 1 540 108.983000 377 381 100000000 12303.000
E.03 0 1 270 753.885000 2186 2246 100000000 1939.000
F.19 1 1 270 231.964000 1477 1486 100000000 13540.00
A.12 1 1 180 10.998000 38 40 2048 1312.000
B.08 1 1 540 103.984000 350 349 100000000 12264.000
F.17 1 1 270 585.910000 2764 2708 100000000 14885.000
C.04 1 1 900 322.950000 1084 1090 100000000 57595.000
B.19 1 1 540 177.972000 366 365 100000000 13367.000
C.16 1 1 900 352.946000 1027 1023 100000000 56656.000
C.17 1 1 900 490.925000 1018 1012 100000000 57811.000
E.08 0 1 270 4377.334000 1675 1854 100000000 4024.000
F.13 1 1 270 1960.701000 1816 1845 100000000 15651.000
A.20 1 1 180 10.998000 40 37 194917 1321.000
E.02 0 1 270 4530.311000 2736 2741 100000000 11824.000
E.16 0 1 270 24696.245000 2173 1943 100000000 192162.000
B.12 1 1 540 194.970000 381 377 100000000 11693.000
F.09 1 1 270 757.884000 1779 1802 100000000 14096.000
A.10 1 1 180 15.997000 65 48 16352 1303.000
F.18 1 1 270 273.958000 2790 2931 100000000 16483.000
E.10 1 1 270 155.976000 1529 1550 100000000 14087.000
A.06 1 1 180 30.995000 42 45 6467 1236.000
E.15 0 1 270 798.878000 3792 3808 100000000 2424.000
E.07 0 1 270 976.851000 3167 3357 100000000 2116.000
E.11 0 1 270 1941.704000 1563 1530 100000000 2318.000
B.03 1 1 540 188.971000 396 394 100000000 12510.00
B.18 1 1 540 234.964000 354 384 100000000 12193.000
C.03 1 1 900 268.959000 1003 1010 100000000 55248.000
A.18 1 1 180 14.997000 39 40 2588 1294.000
F.15 1 1 270 172.973000 2089 1958 100000000 13263.000
A.19 1 1 180 18.997000 42 53 659 1313.000
C.12 1 1 900 335.948000 1002 998 100000000 47482.000
B.05 1 1 540 254.961000 363 359 100000000 12242.000
A.13 1 1 180 12.998000 38 37 9403 1297.000
A.05 1 1 180 10.998000 43 41 12743 1253.000
F.01 1 1 270 147.977000 1875 2078 100000000 13076.000
E.20 0 1 270 657.899000 3169 3269 100000000 1954.000
B.13 1 1 540 110.983000 345 351 100000000 11493.000
A.14 1 1 180 40.993000 45 46 100000000 1310.00
B.04 1 1 540 96.985000 520 372 100000000 11959.000
C.13 1 1 900 697.893000 1110 1215 100000000 48040.00
F.07 1 1 270 174.973000 1520 1534 100000000 12449.000
E.13 0 1 270 807.877000 3127 2828 100000000 2659.000
E.14 0 1 270 7405.874000 1704 1746 100000000 13398.000
A.11 1 1 180 10.998000 38 39 2169 1271.000
si6-r005-m400.07 1 7 240 113124.802000 3094 2866 100000000 7559.000
si6-r005-m400.00 1 7 240 280898.296000 2587 2954 100000000 46587.000
si6-r005-m400.01 1 7 240 230748.920000 2867 2899 100000000 72079.000
si6-r005-m400.02 1 7 240 16066.557000 2362 2354 100000000 9608.000
si6-r005-m400.04 1 7 240 6654.988000 2729 2385 100000000 29176.000
si6-r005-m400.05 1 7 240 343026.851000 4018 4054 100000000 92587.000
si6-r005-m400.09 1 7 240 8066.773000 2186 2113 100000000 8297.000
si6-r005-m400.03 1 7 240 550706.279000 2845 2866 100000000 39876.000
si6-r005-m400.06 1 7 240 6288.044000 2405 2280 100000000 7898.000
si6-r005-m400.08 1 7 240 119685.804000 2966 2981 100000000 51823.000
si6-m4Dr6-m625.04 1 6 375 85.986000 228 308 2 4870.00
si6-m4Dr6-m625.01 1 6 375 130.980000 457 528 2 5340.00
si6-m4Dr6-m625.09 1 6 375 94.985000 436 572 2 4997.000
si6-m4Dr6-m625.07 1 6 375 80.987000 401 395 4 4824.000
si6-m4Dr6-m625.00 1 6 375 82.987000 210 209 2 5387.000
si6-m4Dr6-m625.08 1 6 375 375.942000 243 241 2 4512.000
si6-m4Dr6-m625.05 1 6 375 80.987000 407 403 2 4955.000
si6-m4Dr6-m625.06 1 6 375 74.988000 208 208 4 4878.000
si6-m4Dr6-m625.02 1 6 375 84.987000 249 243 2 4898.000
si6-m4Dr6-m625.03 1 6 375 78.987000 345 341 3 5506.000
si4-m4Dr2-m625.09 1 6 250 190.970000 236 234 1 2960.00
si4-m4Dr2-m625.04 1 6 250 394.939000 136 182 2 2576.000
si4-m4Dr2-m625.02 1 6 250 43.993000 190 249 1 2300.0
si4-m4Dr2-m625.07 1 6 250 44.993000 180 179 1 2506.000
si4-m4Dr2-m625.00 1 6 250 117.982000 227 198 1 2635.000
si4-m4Dr2-m625.08 1 6 250 145.977000 227 218 1 2856.000
si4-m4Dr2-m625.01 1 6 250 135.979000 240 217 2 2719.000
si4-m4Dr2-m625.06 1 6 250 52.991000 311 304 1 2777.000
si4-m4Dr2-m625.03 1 6 250 391.940000 242 240 1 2657.000
si4-m4Dr2-m625.05 1 6 250 154.976000 260 245 1 2616.000
si2-r001-m600.00 1 7 120 9501.555000 178 179 100000000 11731.000
si2-r001-m600.06 1 7 120 20565.873000 583 583 100000000 13234.000
si2-r001-m600.04 1 7 120 3395.483000 263 327 100000000 4359.000
si2-r001-m600.07 1 7 120 115212.485000 1290 914 100000000 11778.000
si2-r001-m600.02 1 7 120 291724.651000 192 189 100000000 24611.000
si2-r001-m600.08 1 7 120 35231.643000 384 385 100000000 432073.000
si2-r001-m600.03 1 7 120 45619301.811000 217 225 100000000 46320.00
si2-r001-m600.01 1 7 120 38436.156000 210 175 100000000 11945.000
si2-r001-m600.05 1 7 120 35371.622000 272 178 100000000 17740.00
