instance lad vbdpd vbbjdpd vbbjdpdnosup vbbjdpdnocad tvbbjdpd vf2 snd
F.04 388.940000 2266 2436 39 2652 2132 100000000 14202.000
C.18 492.925000 1029 1188 166 973 967 100000000 57342.000
A.04 12.998000 43 44 5 45 42 58 1635.000
C.02 279.957000 1087 1078 172 1043 1026 100000000 63904.000
E.01 784.880000 2726 2750 41 2650 2413 100000000 2365.000
F.20 5769.122000 2141 1869 62 2713544 1724 100000000 23646.000
B.20 117.982000 387 380 65 365 362 100000000 12010.00
C.08 303.953000 1005 1017 170 972 949 100000000 60946.000
B.11 286.956000 371 368 60 372 353 100000000 13434.000
C.10 591.910000 1167 1435 179 1168 1074 100000000 61210.00
B.06 105.983000 387 365 61 347 346 100000000 13139.000
F.08 2076.684000 2086 2107 32 8155643 1934 100000000 17013.000
B.07 113.982000 393 396 61 390 370 100000000 12284.000
E.04 487.925000 2412 2457 35 2433 2239 100000000 1958.000
C.01 268.959000 1027 1027 171 978 970 100000000 59494.000
B.10 109.983000 439 500 59 487 355 100000000 14330.00
A.15 20.996000 39 39 5 39 39 1321710 1515.000
C.19 324.950000 1105 1041 167 1061 981 100000000 72251.000
B.02 213.967000 377 359 63 343 344 100000000 12402.000
E.06 853.870000 2553 2587 42 2567 2358 100000000 1966.000
E.18 770.882000 1374 1399 18 1889 1285 100000000 1792.000
C.20 538.918000 1045 1044 166 998 991 100000000 60248.000
F.02 343.947000 1814 1830 23 1840 1683 100000000 15369.000
F.11 157.975000 2203 2233 39 2248 2056 100000000 14472.000
F.12 237.963000 2336 2362 39 2401 2165 100000000 14770.00
E.05 227075.479000 1981 2010 25 2018 1847 100000000 27478828.000
B.16 106.983000 392 398 61 377 368 100000000 13018.000
A.08 11.998000 33 40 5 37 33 2208 1246.000
C.14 688.895000 1084 1086 169 1092 1024 100000000 59599.000
F.16 220.966000 1788 1798 24 1800 1654 100000000 15828.000
F.06 1043.841000 1710 1989 27 6003 1594 100000000 13260.00
A.03 23.996000 42 43 5 42 41 22667 1285.000
E.19 284.956000 1485 1648 17 1467 1346 100000000 1699.000
C.15 277.957000 1264 1246 166 1013 961 100000000 59152.000
A.16 21.996000 49 45 6 46 44 584137 1276.000
B.14 188.971000 376 375 64 360 358 100000000 12205.000
A.02 14.997000 40 40 7 43 41 916 1247.000
F.14 180.972000 1441 1462 34 1452 1340 100000000 13870.00
F.05 284.956000 1624 1644 23 1639 1515 100000000 14093.000
B.09 197.969000 380 379 62 362 360 100000000 12360.00
A.01 9.998000 42 44 5 43 43 1808 1308.000
C.05 299.954000 1026 1400 166 993 940 100000000 58923.000
B.01 106.983000 393 431 92 340 339 100000000 12856.000
A.09 11.998000 37 37 5 36 37 68382 1319.000
A.07 12.998000 34 34 5 35 34 3059 1286.000
F.03 173.973000 1570 1563 22 1550 1433 100000000 14389.000
E.12 2356.641000 1899 1928 21 1934 1769 100000000 2768.000
C.06 427.934000 1097 1331 255 1044 1036 100000000 65928.000
C.09 289.955000 993 1078 239 923 922 100000000 60966.000
B.17 102.984000 483 378 62 362 362 100000000 12624.000
C.07 524.920000 1147 1183 171 1032 1021 100000000 61736.000
E.09 596.909000 1797 1824 20 1828 1674 100000000 2113.000
E.17 7165.910000 1706 1734 21 1736 1595 100000000 18404.000
C.11 614.906000 1047 1052 167 1012 993 100000000 60456.000
F.10 266.959000 2551 2595 38 2613 2382 100000000 2012.000
A.17 22.996000 40 41 5 39 39 15201 1232.000
B.15 108.983000 377 381 60 353 351 100000000 12303.000
E.03 753.885000 2186 2246 36 2360 2051 100000000 1939.000
F.19 231.964000 1477 1486 26 1492 1368 100000000 13540.00
A.12 10.998000 38 40 5 38 40 2048 1312.000
B.08 103.984000 350 349 59 333 333 100000000 12264.000
F.17 585.910000 2764 2708 41 2454 2137 100000000 14885.000
C.04 322.950000 1084 1090 168 1039 1036 100000000 57595.000
B.19 177.972000 366 365 60 363 349 100000000 13367.000
C.16 352.946000 1027 1023 166 980 972 100000000 56656.000
C.17 490.925000 1018 1012 167 969 957 100000000 57811.000
E.08 4377.334000 1675 1854 31 1706 1570 100000000 4024.000
F.13 1960.701000 1816 1845 31 417864 1694 100000000 15651.000
A.20 10.998000 40 37 5 45 37 194917 1321.000
E.02 4530.311000 2736 2741 41 2736 2513 100000000 11824.000
E.16 24696.245000 2173 1943 29 1963 1786 100000000 192162.000
B.12 194.970000 381 377 62 362 361 100000000 11693.000
F.09 757.884000 1779 1802 26 1842 1663 100000000 14096.000
A.10 15.997000 65 48 8 40 42 16352 1303.000
F.18 273.958000 2790 2931 42 2633 2376 100000000 16483.000
E.10 155.976000 1529 1550 22 1544 1427 100000000 14087.000
A.06 30.995000 42 45 5 42 41 6467 1236.000
E.15 798.878000 3792 3808 67 3617 3094 100000000 2424.000
E.07 976.851000 3167 3357 58 3284 2966 100000000 2116.000
E.11 1941.704000 1563 1530 21 1540 1398 100000000 2318.000
B.03 188.971000 396 394 61 391 377 100000000 12510.00
B.18 234.964000 354 384 81 348 334 100000000 12193.000
C.03 268.959000 1003 1010 166 982 949 100000000 55248.000
A.18 14.997000 39 40 5 40 41 2588 1294.000
F.15 172.973000 2089 1958 35 1955 1806 100000000 13263.000
A.19 18.997000 42 53 5 42 42 659 1313.000
C.12 335.948000 1002 998 173 958 944 100000000 47482.000
B.05 254.961000 363 359 61 417 342 100000000 12242.000
A.13 12.998000 38 37 7 37 37 9403 1297.000
A.05 10.998000 43 41 7 44 39 12743 1253.000
F.01 147.977000 1875 2078 34 1916 1759 100000000 13076.000
E.20 657.899000 3169 3269 59 3236 2945 100000000 1954.000
B.13 110.983000 345 351 60 325 327 100000000 11493.000
A.14 40.993000 45 46 5 47 45 100000000 1310.00
B.04 96.985000 520 372 81 549 352 100000000 11959.000
C.13 697.893000 1110 1215 174 1052 1040 100000000 48040.00
F.07 174.973000 1520 1534 22 1535 1410 100000000 12449.000
E.13 807.877000 3127 2828 43 2879 2601 100000000 2659.000
E.14 7405.874000 1704 1746 22 1736 1593 100000000 13398.000
A.11 10.998000 38 39 5 38 39 2169 1271.000
si6_r005_m400.07 113124.802000 3094 2866 959 2778 1991 100000000 7559.000
si6_r005_m400.00 280898.296000 2587 2954 810 2576 1965 100000000 46587.000
si6_r005_m400.01 230748.920000 2867 2899 600 2828 2049 100000000 72079.000
si6_r005_m400.02 16066.557000 2362 2354 248 2501 1970 100000000 9608.000
si6_r005_m400.04 6654.988000 2729 2385 454 2544 1985 100000000 29176.000
si6_r005_m400.05 343026.851000 4018 4054 2660 3706 2073 100000000 92587.000
si6_r005_m400.09 8066.773000 2186 2113 56 2112 1947 100000000 8297.000
si6_r005_m400.03 550706.279000 2845 2866 730 3320 2124 100000000 39876.000
si6_r005_m400.06 6288.044000 2405 2280 154 2310 1967 100000000 7898.000
si6_r005_m400.08 119685.804000 2966 2981 908 3040 2029 100000000 51823.000
si6_m4Dr6_m625.04 85.986000 228 308 34 219 218 2 4870.00
si6_m4Dr6_m625.01 130.980000 457 528 53 499 322 2 5340.00
si6_m4Dr6_m625.09 94.985000 436 572 35 561 412 2 4997.000
si6_m4Dr6_m625.07 80.987000 401 395 53 392 372 4 4824.000
si6_m4Dr6_m625.00 82.987000 210 209 34 202 202 2 5387.000
si6_m4Dr6_m625.08 375.942000 243 241 37 235 233 2 4512.000
si6_m4Dr6_m625.05 80.987000 407 403 52 411 384 2 4955.000
si6_m4Dr6_m625.06 74.988000 208 208 34 232 200 4 4878.000
si6_m4Dr6_m625.02 84.987000 249 243 35 263 231 2 4898.000
si6_m4Dr6_m625.03 78.987000 345 341 48 334 324 3 5506.000
si4_m4Dr2_m625.09 190.970000 236 234 24 311 222 1 2960.00
si4_m4Dr2_m625.04 394.939000 136 182 35 207 132 2 2576.000
si4_m4Dr2_m625.02 43.993000 190 249 29 193 176 1 2300.0
si4_m4Dr2_m625.07 44.993000 180 179 18 175 172 1 2506.000
si4_m4Dr2_m625.00 117.982000 227 198 19 192 188 1 2635.000
si4_m4Dr2_m625.08 145.977000 227 218 20 223 208 1 2856.000
si4_m4Dr2_m625.01 135.979000 240 217 19 209 202 2 2719.000
si4_m4Dr2_m625.06 52.991000 311 304 28 190 184 1 2777.000
si4_m4Dr2_m625.03 391.940000 242 240 32 271 230 1 2657.000
si4_m4Dr2_m625.05 154.976000 260 245 20 245 234 1 2616.000
si2_r001_m600.00 9501.555000 178 179 100000000 219 159 100000000 11731.000
si2_r001_m600.06 20565.873000 583 583 100000000 358 155 100000000 13234.000
si2_r001_m600.04 3395.483000 263 327 10504 225 175 100000000 4359.000
si2_r001_m600.07 115212.485000 1290 914 100000000 560 213 100000000 11778.000
si2_r001_m600.02 291724.651000 192 189 100000000 181 169 100000000 24611.000
si2_r001_m600.08 35231.643000 384 385 100000000 261 175 100000000 432073.000
si2_r001_m600.03 45619301.811000 217 225 100000000 186 150 100000000 46320.00
si2_r001_m600.01 38436.156000 210 175 100000000 172 157 100000000 11945.000
si2_r001_m600.05 35371.622000 272 178 100000000 260 168 100000000 17740.00
si2_r001_m600.09 147831.526000 448 415 100000000 294 171 100000000 56235.000
si2_m4Dr2_m256.09 38.994000 15 17 14 15 17 0 784.000
si2_m4Dr2_m256.03 42.993000 15 18 8 15 16 0 1681.000
si2_m4Dr2_m256.04 84.987000 29 30 116 39 31 0 718.000
si2_m4Dr2_m256.07 8.998000 17 11 1 18 13 0 796.000
si2_m4Dr2_m256.00 42.993000 14 14 17 16 15 0 825.000
si2_m4Dr2_m256.06 83.987000 19 17 251 16 16 0 999.000
si2_m4Dr2_m256.08 6.998000 25 21 2 21 22 0 655.000
si2_m4Dr2_m256.05 19.996000 31 31 2 50 31 0 762.000
si2_m4Dr2_m256.01 34.994000 20 13 48 13 15 0 659.000
si2_m4Dr2_m256.02 20.996000 11 11 17 18 13 0 671.000
si6_r001_m600.09 2539.613000 1090 1087 47 1105 1034 100000000 5933.000
si6_r001_m600.00 28248.705000 1143 1118 3155 1119 1059 100000000 6189.000
si6_r001_m600.07 10217.446000 1152 1216 82 1261 1068 100000000 6132.000
si6_r001_m600.03 31602.195000 1161 1219 76 1443 1096 100000000 5703.000
si6_r001_m600.01 3477.471000 1211 1215 3600 1177 1102 100000000 6537.000
si6_r001_m600.06 2484.622000 1120 1111 204 1104 1046 100000000 6371.000
si6_r001_m600.08 6583.999000 1281 1171 1451 1202 1104 100000000 9716.000
si6_r001_m600.02 30458.369000 1164 1169 635 1166 1095 100000000 5655.000
si6_r001_m600.04 4266.351000 1109 1105 11499 1120 1041 100000000 6154.000
si6_r001_m600.05 2947.551000 1299 1165 70 1160 1103 100000000 5779.000
si2_m4Dr2_m1296.05 748.886000 453 586 43 468 429 1 5120.00
si2_m4Dr2_m1296.09 740.887000 265 268 48 261 254 3 5682.000
