instance sat family size vbbjdpd tvbbjdpd
F.04 1 1 300 278 100000000
C.18 1 1 1000 901 100000000
A.04 1 1 200 181 100000000
C.02 1 1 1000 901 100000000
E.01 0 1 300 0 100000000
F.20 1 1 300 559 100000000
B.20 1 1 600 541 100000000
C.08 1 1 1000 901 100000000
B.11 1 1 600 541 100000000
C.10 1 1 1000 901 100000000
B.06 1 1 600 541 100000000
F.08 1 1 300 334 100000000
B.07 1 1 600 541 100000000
E.04 0 1 300 0 100000000
C.01 1 1 1000 901 100000000
B.10 1 1 600 541 100000000
A.15 1 1 200 181 100000000
C.19 1 1 1000 901 100000000
B.02 1 1 600 541 100000000
E.06 0 1 300 0 100000000
E.18 0 1 300 0 100000000
C.20 1 1 1000 901 100000000
F.02 1 1 300 271 100000000
F.11 1 1 300 271 100000000
F.12 1 1 300 271 100000000
E.05 0 1 300 0 100000000
B.16 1 1 600 541 100000000
A.08 1 1 200 181 100000000
C.14 1 1 1000 901 100000000
F.16 1 1 300 271 100000000
F.06 1 1 300 281 100000000
A.03 1 1 200 181 100000000
E.19 0 1 300 0 100000000
C.15 1 1 1000 901 100000000
A.16 1 1 200 181 100000000
B.14 1 1 600 541 100000000
A.02 1 1 200 181 100000000
F.14 1 1 300 271 100000000
F.05 1 1 300 271 100000000
B.09 1 1 600 541 100000000
A.01 1 1 200 181 100000000
C.05 1 1 1000 901 100000000
B.01 1 1 600 541 100000000
A.09 1 1 200 181 100000000
A.07 1 1 200 181 100000000
F.03 1 1 300 271 100000000
E.12 0 1 300 0 100000000
C.06 1 1 1000 901 100000000
C.09 1 1 1000 901 100000000
B.17 1 1 600 541 100000000
C.07 1 1 1000 901 100000000
E.09 0 1 300 0 100000000
E.17 0 1 300 0 100000000
C.11 1 1 1000 901 100000000
F.10 0 1 300 0 100000000
A.17 1 1 200 181 100000000
B.15 1 1 600 541 100000000
E.03 0 1 300 0 100000000
F.19 1 1 300 273 100000000
A.12 1 1 200 181 100000000
B.08 1 1 600 541 100000000
F.17 1 1 300 271 100000000
C.04 1 1 1000 901 100000000
B.19 1 1 600 541 100000000
C.16 1 1 1000 901 100000000
C.17 1 1 1000 901 100000000
E.08 0 1 300 0 100000000
F.13 1 1 300 346 100000000
A.20 1 1 200 181 100000000
E.02 0 1 300 0 100000000
